Processed date/time,Lot No.,Measured Value
4/22/2024 6:09,0421-0247-06574,240225-60-0003
4/22/2024 6:11,0421-0247-06575,240225-60-0003
4/22/2024 6:11,0421-0247-06576,240225-60-0003
4/22/2024 6:11,0421-0247-06577,240225-60-0003
4/22/2024 6:11,0421-0247-06578,240225-60-0003
4/22/2024 6:11,0421-0247-06579,240225-60-0003
4/22/2024 6:11,0421-0247-06580,240225-60-0003
4/22/2024 6:11,0421-0247-06581,240225-60-0003
4/22/2024 6:12,0421-0247-06582,240225-60-0003
4/22/2024 6:12,0421-0247-06583,240225-60-0003
4/22/2024 6:12,0421-0247-06584,240225-60-0003
4/22/2024 6:12,0421-0247-06585,240225-60-0003
4/22/2024 6:12,0421-0247-06586,240225-60-0003
4/22/2024 6:12,0421-0247-06587,240225-60-0003
4/22/2024 6:12,0421-0247-06588,240225-60-0003
4/22/2024 6:12,0421-0247-06589,240225-60-0003
4/22/2024 6:12,0421-0247-06590,240225-60-0003
4/22/2024 6:12,0421-0247-06591,240225-60-0003
4/22/2024 6:12,0422-0247-00001,240225-60-0003
4/22/2024 6:12,0422-0247-00002,240219-60-0001
4/22/2024 6:12,0422-0247-00003,240219-60-0001
4/22/2024 6:12,0422-0247-00004,240219-60-0001
4/22/2024 6:12,0422-0247-00005,240219-60-0001
4/22/2024 6:12,0422-0247-00006,240219-60-0001
4/22/2024 6:12,0422-0247-00007,240219-60-0001
4/22/2024 6:12,0422-0247-00008,240219-60-0001
4/22/2024 6:13,0422-0247-00009,240219-60-0001
4/22/2024 6:13,0422-0247-00010,240219-60-0001
4/22/2024 6:13,0422-0247-00011,240219-60-0001
4/22/2024 6:13,0422-0247-00012,240219-60-0001
4/22/2024 6:13,0422-0247-00013,240219-60-0001
4/22/2024 6:13,0422-0247-00014,240219-60-0001
4/22/2024 6:13,0422-0247-00015,240219-60-0001
4/22/2024 6:13,0422-0247-00016,240219-60-0001
4/22/2024 6:13,0422-0247-00017,240219-60-0001
4/22/2024 6:13,0422-0247-00018,240219-60-0001
