Processed date/time,Lot No.,Measured Value
4/22/2024 6:12,0421-0247-06393,240209-50-0012
4/22/2024 6:12,0421-0247-06394,240209-50-0012
4/22/2024 6:12,0421-0247-06395,240209-50-0012
4/22/2024 6:12,0421-0247-06396,240209-50-0012
4/22/2024 6:12,0421-0247-06397,240209-50-0012
4/22/2024 6:12,0421-0247-06398,240209-50-0012
4/22/2024 6:12,0421-0247-06399,240209-50-0012
4/22/2024 6:12,0421-0247-06400,240209-50-0012
4/22/2024 6:12,0421-0247-06401,240209-50-0012
4/22/2024 6:12,0421-0247-06402,240209-50-0012
4/22/2024 6:12,0421-0247-06403,240209-50-0012
4/22/2024 6:12,0421-0247-06404,240209-50-0012
4/22/2024 6:12,0421-0247-06405,240209-50-0012
4/22/2024 6:13,0421-0247-06406,240209-50-0012
4/22/2024 6:13,0421-0247-06407,240209-50-0012
4/22/2024 6:13,0421-0247-06408,240209-50-0012
4/22/2024 6:13,0421-0247-06409,240209-50-0012
4/22/2024 6:13,0421-0247-06410,240209-50-0012
4/22/2024 6:13,0421-0247-06411,240209-50-0012
4/22/2024 6:13,0421-0247-06412,240209-50-0012
4/22/2024 6:13,0421-0247-06413,240209-50-0012
4/22/2024 6:13,0421-0247-06414,240209-50-0012
4/22/2024 6:13,0421-0247-06415,240209-50-0012
4/22/2024 6:13,0421-0247-06416,240209-50-0012
4/22/2024 6:13,0421-0247-06417,240209-50-0012
4/22/2024 6:13,0421-0247-06418,240209-50-0012
4/22/2024 6:13,0421-0247-06419,240209-50-0012
4/22/2024 6:13,0421-0247-06420,240209-50-0012
4/22/2024 6:13,0421-0247-06421,240209-50-0012
4/22/2024 6:13,0421-0247-06422,240209-50-0012
4/22/2024 6:13,0421-0247-06423,240209-50-0012
4/22/2024 6:13,0421-0247-06424,240209-50-0012
4/22/2024 6:14,0421-0247-06425,240209-50-0012
4/22/2024 6:14,0421-0247-06426,240209-50-0012
4/22/2024 6:14,0421-0247-06427,240209-50-0012
4/22/2024 6:14,0421-0247-06428,240209-50-0012
4/22/2024 6:14,0421-0247-06429,240209-50-0012
4/22/2024 6:14,0421-0247-06430,240209-50-0012
4/22/2024 6:14,0421-0247-06431,240209-50-0012
4/22/2024 6:14,0421-0247-06432,240209-50-0012
4/22/2024 6:14,0421-0247-06433,240209-50-0012
4/22/2024 6:14,0421-0247-06434,240209-50-0012
4/22/2024 6:14,0421-0247-06435,240209-50-0012
4/22/2024 6:14,0421-0247-06436,240209-50-0012
4/22/2024 6:14,0421-0247-06437,240209-50-0012
4/22/2024 6:14,0421-0247-06438,240209-50-0012
4/22/2024 6:14,0421-0247-06439,240209-50-0012
4/22/2024 6:14,0421-0247-06440,240209-50-0012
4/22/2024 6:14,0421-0247-06441,240209-50-0012
4/22/2024 6:14,0421-0247-06442,240209-50-0012
4/22/2024 6:14,0421-0247-06443,240209-50-0012
4/22/2024 6:14,0421-0247-06444,240209-50-0012
4/22/2024 6:15,0421-0247-06445,240209-50-0012
4/22/2024 6:15,0421-0247-06446,240209-50-0012
4/22/2024 6:15,0421-0247-06447,240209-50-0012
4/22/2024 6:15,0421-0247-06448,240209-50-0012
4/22/2024 6:15,0421-0247-06449,240209-50-0012
4/22/2024 6:15,0421-0247-06450,240209-50-0012
4/22/2024 6:15,0421-0247-06451,240209-50-0012
4/22/2024 6:15,0421-0247-06452,240209-50-0012
4/22/2024 6:15,0421-0247-06453,240209-50-0012
4/22/2024 6:15,0421-0247-06454,240209-50-0012
4/22/2024 6:15,0421-0247-06455,240209-50-0012
4/22/2024 6:15,0421-0247-06456,240209-50-0012
4/22/2024 6:15,0421-0247-06457,240209-50-0012
4/22/2024 6:15,0421-0247-06458,240209-50-0012
4/22/2024 6:15,0421-0247-06459,240209-50-0012
4/22/2024 6:15,0421-0247-06460,240209-50-0012
4/22/2024 6:15,0421-0247-06461,240209-50-0012
4/22/2024 6:15,0421-0247-06462,240209-50-0012
4/22/2024 6:15,0421-0247-06463,240209-50-0012
4/22/2024 6:15,0421-0247-06464,240209-50-0012
4/22/2024 6:15,0421-0247-06465,240209-50-0012
4/22/2024 6:16,0421-0247-06466,240209-50-0012
4/22/2024 6:16,0421-0247-06467,240209-50-0012
4/22/2024 6:16,0421-0247-06468,240209-50-0012
4/22/2024 6:16,0421-0247-06469,240209-50-0012
4/22/2024 6:16,0421-0247-06470,240209-50-0012
4/22/2024 6:16,0421-0247-06471,240209-50-0012
4/22/2024 6:16,0421-0247-06472,240209-50-0012
4/22/2024 6:16,0421-0247-06473,240209-50-0012
4/22/2024 6:16,0421-0247-06474,240209-50-0012
4/22/2024 6:16,0421-0247-06475,240209-50-0012
4/22/2024 6:16,0421-0247-06476,240209-50-0012
4/22/2024 6:16,0421-0247-06477,240209-50-0012
4/22/2024 6:16,0421-0247-06478,240209-50-0012
4/22/2024 6:16,0421-0247-06479,240209-50-0012
4/22/2024 6:16,0421-0247-06480,240209-50-0012
4/22/2024 6:16,0421-0247-06481,240209-50-0012
4/22/2024 6:16,0421-0247-06482,240209-50-0012
4/22/2024 6:16,0421-0247-06483,240209-50-0012
4/22/2024 6:16,0421-0247-06484,240209-50-0012
4/22/2024 6:16,0421-0247-06485,240209-50-0012
4/22/2024 6:17,0421-0247-06486,240209-50-0012
4/22/2024 6:17,0421-0247-06487,240209-50-0012
4/22/2024 6:17,0421-0247-06488,240209-50-0012
4/22/2024 6:17,0421-0247-06489,240209-50-0012
4/22/2024 6:17,0421-0247-06490,240209-50-0012
