equipment ID,Part number,Processed date/time,Lot No.,Measured Value
e15541,451,4/22/2024 6:02,0422-0451-00000,0
e15541,247,4/22/2024 6:10,0421-0247-06099,0.003
e15541,247,4/22/2024 6:10,0421-0247-06102,0.001
e15541,247,4/22/2024 6:10,0421-0247-06105,65.53
e15541,247,4/22/2024 6:11,0421-0247-06113,0.002
e15541,247,4/22/2024 6:11,0421-0247-06115,0.014
e15541,247,4/22/2024 6:11,0421-0247-06120,0.013
e15541,247,4/22/2024 6:11,0421-0247-06125,0.008
e15541,247,4/22/2024 6:11,0421-0247-06127,0.008
e15541,247,4/22/2024 6:11,0421-0247-06131,0.008
e15541,247,4/22/2024 6:12,0421-0247-06138,0.011
e15541,247,4/22/2024 6:12,0421-0247-06144,0.007
e15541,247,4/22/2024 6:12,0421-0247-06143,0
e15541,247,4/22/2024 6:12,0421-0247-06148,65.533
e15541,247,4/22/2024 6:12,0421-0247-06158,65.534
e15541,247,4/22/2024 6:13,0421-0247-06153,0.009
e15541,247,4/22/2024 6:13,0421-0247-06167,65.534
e15541,247,4/22/2024 6:13,0421-0247-06171,0
e15541,247,4/22/2024 6:13,0421-0247-06155,0.007
e15541,247,4/22/2024 6:13,0421-0247-06161,0.002
e15541,247,4/22/2024 6:14,0421-0247-06163,0.008
e15541,247,4/22/2024 6:14,0421-0247-06164,0.021
e15541,247,4/22/2024 6:14,0421-0247-06187,0.003
e15541,247,4/22/2024 6:14,0421-0247-06193,0.014
e15541,247,4/22/2024 6:14,0421-0247-06176,0.018
e15541,247,4/22/2024 6:18,0421-0247-06198,0.009
e15541,247,4/22/2024 6:18,0421-0247-06209,0.003
e15541,247,4/22/2024 6:18,0421-0247-06190,0.017
e15541,247,4/22/2024 6:18,0421-0247-06215,0.006
e15541,247,4/22/2024 6:18,0421-0247-06201,0.026
e15541,247,4/22/2024 6:19,0421-0247-06222,0.006
e15541,247,4/22/2024 6:19,0421-0247-06225,0.006
e15541,247,4/22/2024 6:19,0421-0247-06232,0.002
e15541,247,4/22/2024 6:19,0421-0247-06240,0.002
e15541,247,4/22/2024 6:19,0421-0247-06231,0
e15541,247,4/22/2024 6:20,0421-0247-06241,0.012
e15541,247,4/22/2024 6:20,0421-0247-06248,0.001
e15541,247,4/22/2024 6:20,0421-0247-06239,0.002
e15541,247,4/22/2024 6:20,0421-0247-06253,65.535
e15541,247,4/22/2024 6:21,0421-0247-06258,65.533
e15541,247,4/22/2024 6:21,0421-0247-06259,0.002
e15541,247,4/22/2024 6:21,0421-0247-06263,65.535
e15541,247,4/22/2024 6:21,0421-0247-06268,65.534
e15541,247,4/22/2024 6:23,0421-0247-06274,0.291
e15541,247,4/22/2024 6:23,0421-0247-06271,0
e15541,247,4/22/2024 6:23,0421-0247-06282,0
e15541,247,4/22/2024 6:23,0421-0247-06280,65.529
e15541,247,4/22/2024 6:24,0421-0247-06289,0
e15541,247,4/22/2024 6:24,0421-0247-06283,65.533
e15541,247,4/22/2024 6:25,0421-0247-06285,65.535
e15541,247,4/22/2024 6:25,0421-0247-06298,0.009
e15541,247,4/22/2024 6:25,0421-0247-06296,0.003
